State Code,Location,Totals %,Totals N
US,United States,15.9†,17032.0
AL,Alabama,13.8,412.0
AZ,Arizona,19.9,1172.0
AR,Arkansas,18.4,1516.0
CO,Colorado,16.7,1022.0
CT,Connecticut,13.7,1752.0
DE,Delaware,9.7,1543.0
FL,Florida,12.9,4646.0
GA,Georgia,13.3,595.0
HI,Hawaii,11.8,5590.0
ID,Idaho,16.4,979.0
IL,Illinois,17.6,2944.0
IN,Indiana,15.2,1022.0
IA,Iowa,18.8,1383.0
KS,Kansas,17.1,1494.0
KY,Kentucky,17.7,2166.0
LA,Louisiana,18.7,623.0
ME,Maine,18.2,6477.0
MD,Maryland,13.8,35210.0
MA,Massachusetts,14.1,3145.0
MI,Michigan,16.9,3716.0
MS,Mississippi,14.6,1707.0
MO,Missouri,13.9,881.0
MT,Montana,16.4,4444.0
NE,Nebraska,17.1,673.0
NV,Nevada,14.4,1694.0
NH,New Hampshire,21.8,13659.0
NJ,New Jersey,15.4,694.0
NM,New Mexico,12.4,4536.0
NY,New York,16.1,4539.0
NC,North Carolina,13,1712.0
ND,North Dakota,13.6,2000.0
OH,Ohio,18.5,727.0
OK,Oklahoma,15.7,1662.0
PA,Pennsylvania,17.4,1633.0
RI,Rhode Island,12,2138.0
SC,South Carolina,14,1593.0
SD,South Dakota,17.4,943.0
TN,Tennessee,17.4,1941.0
TX,Texas,11.9,1672.0
UT,Utah,16.5,1495.0
VT,Vermont,17.5,17317.0
VA,Virginia,12.1,3072.0
WV,West Virginia,20.6,479.0
WI,Wisconsin,16.1,1836.0
